group_key,class_name,split,available_segments,recordings
MMSI:218821000,Cargo,test,159,1
NAME:38c12430c02b,Cargo,test,160,2
NAME:45bc83c012f4,Cargo,test,180,1
NAME:4c77e6b801e7,Cargo,test,85,1
NAME:55e4cc202a44,Cargo,test,66,1
NAME:5b38cef723e3,Cargo,test,68,1
NAME:64d31728ecca,Cargo,test,154,1
NAME:7a966cb92647,Cargo,test,99,1
NAME:8ac2ca58c386,Cargo,test,80,1
NAME:a106214b7e57,Cargo,test,83,1
NAME:e2b7e04e42ad,Cargo,test,146,1
MMSI:477669100,Cargo,train,191,2
NAME:0454eb16c7f2,Cargo,train,70,1
NAME:0884ca135c84,Cargo,train,189,1
NAME:09300c73f5c9,Cargo,train,62,1
NAME:0b33ff8c9f47,Cargo,train,85,1
NAME:1533fa5c8ebe,Cargo,train,266,2
NAME:1f603aa156d0,Cargo,train,284,2
NAME:2a7cd609290c,Cargo,train,92,1
NAME:366a7d34c731,Cargo,train,179,1
NAME:3ab5953ca290,Cargo,train,3150,20
NAME:4ee15de8a55a,Cargo,train,100,1
NAME:58f9969a0115,Cargo,train,243,2
NAME:5af949216224,Cargo,train,91,1
NAME:614ac1089522,Cargo,train,116,1
NAME:619b115ec925,Cargo,train,127,1
NAME:63acb8f3e756,Cargo,train,270,2
NAME:6848ae434d06,Cargo,train,147,1
NAME:6963110a094f,Cargo,train,124,1
NAME:6f5173da1960,Cargo,train,118,1
NAME:87d007354e28,Cargo,train,154,1
NAME:90a6918d0cc2,Cargo,train,64,1
NAME:9545bbe412c1,Cargo,train,66,1
NAME:98126d72ec3c,Cargo,train,130,1
NAME:a24be31ff777,Cargo,train,109,1
NAME:ab6709103bb5,Cargo,train,61,1
NAME:becd24724b0c,Cargo,train,127,1
NAME:c028d85f8c7f,Cargo,train,83,1
NAME:c110a032c444,Cargo,train,147,1
NAME:cad2e05b3af7,Cargo,train,116,1
NAME:cb911fc87f5a,Cargo,train,86,1
NAME:d5212f5376c5,Cargo,train,1096,12
NAME:d84e45f0d825,Cargo,train,180,2
NAME:d9f26214025f,Cargo,train,245,1
NAME:dc6bbcf79723,Cargo,train,146,1
NAME:eae500282cf9,Cargo,train,117,1
NAME:f6b49023d7f3,Cargo,train,130,1
NAME:25f8571ad937,Cargo,val,66,1
NAME:4f98ee78f934,Cargo,val,66,1
NAME:53be55a3c310,Cargo,val,120,1
NAME:59ba6b6f6fa1,Cargo,val,115,1
NAME:59f2cdfa708b,Cargo,val,112,1
NAME:75855f8e8979,Cargo,val,178,1
NAME:85628b3ed480,Cargo,val,121,1
NAME:a0d706db5033,Cargo,val,100,1
NAME:ac7764f3ea51,Cargo,val,123,1
NAME:b68decb5e35f,Cargo,val,123,1
NAME:b6cdb45129bb,Cargo,val,126,1
NAME:caf53d8c7d74,Cargo,val,67,1
NAME:cb61c07a7a1a,Cargo,val,113,1
NAME:ce2cc8f11dd8,Cargo,val,75,1
NAME:f0ec5fb36652,Cargo,val,1055,11
NAME:294943da2ef8,Passenger,test,4,1
NAME:2bc9fdd5da2b,Passenger,test,260,1
NAME:2d63fb2a6a82,Passenger,test,503,9
NAME:6a1be01de075,Passenger,test,204,2
NAME:6d8198e89988,Passenger,test,401,8
NAME:ac5271faa543,Passenger,test,100,1
NAME:ec2b627fd541,Passenger,test,69,1
MMSI:245206000,Passenger,train,130,2
NAME:090036cade0f,Passenger,train,123,2
NAME:12709810e438,Passenger,train,395,2
NAME:13d1f5d04ad2,Passenger,train,28,1
NAME:1cc8bfdb25e2,Passenger,train,39,1
NAME:273f57f1c3cb,Passenger,train,116,1
NAME:2ee705e3bc5c,Passenger,train,122,1
NAME:3c44b7853956,Passenger,train,240,4
NAME:44a1c264f838,Passenger,train,402,6
NAME:475f52553eec,Passenger,train,94,1
NAME:475fbc93197e,Passenger,train,406,3
NAME:4cf58332b857,Passenger,train,1038,12
NAME:57a753175514,Passenger,train,200,4
NAME:6dd310d689ab,Passenger,train,212,3
NAME:6e93fdff983b,Passenger,train,503,13
NAME:743d3e63e1be,Passenger,train,937,15
NAME:804d3f860f7f,Passenger,train,65,1
NAME:8b251ee42ba7,Passenger,train,123,1
NAME:9bd30978b71e,Passenger,train,633,3
NAME:a3d33f132069,Passenger,train,472,3
NAME:afc7aff2731c,Passenger,train,142,1
NAME:b6b0a370257c,Passenger,train,88,2
NAME:c9307fd7705a,Passenger,train,232,2
NAME:cfe6aed11cb5,Passenger,train,113,1
NAME:d397b2cb1e5f,Passenger,train,336,4
NAME:e09db06529d3,Passenger,train,354,2
NAME:e9468dec673d,Passenger,train,2513,35
NAME:ef36a42adac1,Passenger,train,239,1
NAME:f772cd8e276b,Passenger,train,479,15
NAME:fb4f6ae05173,Passenger,train,13,1
MMSI:246442000,Passenger,val,163,1
NAME:5cdf69eccb08,Passenger,val,502,3
NAME:6577956387bd,Passenger,val,1172,12
NAME:95b1ec354a54,Passenger,val,124,1
NAME:96698987faf3,Passenger,val,629,1
NAME:d52a8f40e6e5,Passenger,val,492,7
NAME:141f46d52577,Tank,test,275,2
NAME:2a242976cd9e,Tank,test,9,1
NAME:2be8279446f1,Tank,test,102,1
NAME:2e018e965d06,Tank,test,219,1
NAME:55db029d8de0,Tank,test,167,4
NAME:6399040c812e,Tank,test,260,8
NAME:7968c496c16c,Tank,test,172,1
NAME:847e5d06798c,Tank,test,40,1
NAME:b82f3b14d5a6,Tank,test,16,1
NAME:c70b18da6c17,Tank,test,198,5
NAME:d543903933df,Tank,test,15,2
MMSI:636016731,Tank,train,12,1
NAME:031472330c3c,Tank,train,16,1
NAME:032d8664fa71,Tank,train,29,1
NAME:05a8fc61bca3,Tank,train,21,1
NAME:0b2a9743e484,Tank,train,216,6
NAME:0dc5c5a7225f,Tank,train,21,1
NAME:178b0849abd1,Tank,train,28,1
NAME:185f42088a3b,Tank,train,474,4
NAME:1a6ef0420665,Tank,train,6,1
NAME:20ca4f871efe,Tank,train,164,1
NAME:2216f45edfe1,Tank,train,11,1
NAME:23376891fdb8,Tank,train,10,1
NAME:25e992f03eef,Tank,train,12,1
NAME:26199ab6dc0b,Tank,train,16,1
NAME:2693e6e1124a,Tank,train,123,1
NAME:26e5f8adfaaa,Tank,train,135,2
NAME:27db51022dde,Tank,train,180,1
NAME:2a56f04c7948,Tank,train,97,1
NAME:2b9e227fbb9d,Tank,train,20,2
NAME:3014620b7e47,Tank,train,19,1
NAME:3d54200348b4,Tank,train,193,2
NAME:41a0ab2cec86,Tank,train,216,4
NAME:437b8f4c2949,Tank,train,116,1
NAME:43e4c255b356,Tank,train,15,1
NAME:45c07cc56349,Tank,train,131,1
NAME:4da84da50f77,Tank,train,301,3
NAME:53145a3a8bee,Tank,train,34,1
NAME:5524943b1cfa,Tank,train,52,1
NAME:5a6ef80edeef,Tank,train,7,2
NAME:5e113b145850,Tank,train,2,1
NAME:5e66854eb321,Tank,train,161,1
NAME:5eeb72dd8823,Tank,train,8,1
NAME:5fb811b8ddee,Tank,train,6,1
NAME:6063953258fe,Tank,train,349,2
NAME:61c49e48beb3,Tank,train,293,3
NAME:646f1f60be88,Tank,train,8,1
NAME:69a83a3361a7,Tank,train,3,1
NAME:6a2417886a39,Tank,train,116,1
NAME:6b1675ae186a,Tank,train,186,1
NAME:6dfcba65add2,Tank,train,513,4
NAME:7815e0813ac6,Tank,train,23,1
NAME:795f93d22a04,Tank,train,149,2
NAME:79991b5c0c0d,Tank,train,4,1
NAME:7ce62400c970,Tank,train,172,1
NAME:7ede4b981a3f,Tank,train,96,3
NAME:80224c0e63db,Tank,train,115,1
NAME:8184cd8e7d77,Tank,train,123,1
NAME:86b9db5589f8,Tank,train,6,1
NAME:8a928fb80805,Tank,train,174,1
NAME:8beedeaaf506,Tank,train,102,1
NAME:8c6cc95c2aa3,Tank,train,1559,20
NAME:8d97cac1669c,Tank,train,99,2
NAME:8f684d432bca,Tank,train,6,1
NAME:8fafd91b2a1f,Tank,train,80,1
NAME:916ed0081116,Tank,train,117,1
NAME:9233d9bcd3d6,Tank,train,5,1
NAME:971fe27165cb,Tank,train,219,2
NAME:9867f4342b01,Tank,train,84,1
NAME:a19655c7e341,Tank,train,11,2
NAME:a1f911bbcba8,Tank,train,118,2
NAME:a4f6d2c1a2e1,Tank,train,78,1
NAME:a92c1518168a,Tank,train,43,1
NAME:ab48f691adae,Tank,train,117,1
NAME:adc6787ca778,Tank,train,147,1
NAME:b09c81286f3a,Tank,train,70,2
NAME:b24020859808,Tank,train,136,1
NAME:bcb60f241f87,Tank,train,123,1
NAME:be0d81c40024,Tank,train,24,1
NAME:bee5ecaec18d,Tank,train,46,1
NAME:c66a4869ffbb,Tank,train,117,1
NAME:c704202fce17,Tank,train,7,1
NAME:c8b47720a542,Tank,train,12,1
NAME:ca08af7f5e8c,Tank,train,46,1
NAME:ca3e5dea3c74,Tank,train,124,1
NAME:cd988f840bd9,Tank,train,15,1
NAME:d231a10a065d,Tank,train,117,1
NAME:d300a40d9e9f,Tank,train,171,1
NAME:d45cd4a6aeec,Tank,train,22,1
NAME:d58f877032df,Tank,train,289,3
NAME:d6c3a53bbb7e,Tank,train,186,1
NAME:dabeccecf421,Tank,train,139,2
NAME:e26de5f02cf6,Tank,train,4,1
NAME:e87e1f9338a8,Tank,train,9,1
NAME:e96b59dda5d5,Tank,train,56,1
NAME:ec90066b4592,Tank,train,71,1
NAME:efb765ecb3c2,Tank,train,139,2
NAME:f15ad091a4e4,Tank,train,6,1
NAME:f2200e429cf7,Tank,train,117,1
NAME:fbb69102de9c,Tank,train,140,1
NAME:fd443e7290c0,Tank,train,122,2
NAME:ff48e884b477,Tank,train,39,2
MMSI:636012507,Tank,val,5,1
MMSI:636014809,Tank,val,105,1
NAME:242d5ab8c950,Tank,val,155,1
NAME:2b6840f9510d,Tank,val,78,1
NAME:41832589d836,Tank,val,22,1
NAME:4b4695c25480,Tank,val,94,1
NAME:55662369b772,Tank,val,189,1
NAME:55f5bf9fe883,Tank,val,6,1
NAME:7a87842a0e9c,Tank,val,189,2
NAME:81db2a73ba92,Tank,val,106,2
NAME:8eb5a69f27b2,Tank,val,6,1
NAME:91a1b362b56f,Tank,val,11,1
NAME:b0a3134494fd,Tank,val,881,23
NAME:b56dc0535b32,Tank,val,146,2
NAME:b71894c87019,Tank,val,10,1
NAME:b78a374f9098,Tank,val,8,1
NAME:c5972e2bd31d,Tank,val,11,1
NAME:c73665fcee95,Tank,val,75,6
NAME:c99cf3ee0627,Tank,val,7,1
NAME:d01d92e3c399,Tank,val,113,1
NAME:d84ec0bd649c,Tank,val,157,2
NAME:e3335e3db1c5,Tank,val,267,3
NAME:ed8e80896825,Tank,val,223,4
NAME:fd845bd14ff5,Tank,val,83,1
NAME:074c82332261,Tug,test,357,2
NAME:3cd3baec66d8,Tug,test,87,1
NAME:4bac4b7f0764,Tug,test,67,1
NAME:530ec09df1e6,Tug,test,839,5
NAME:2277ac081ef4,Tug,train,344,1
NAME:3e410987c62c,Tug,train,3276,16
NAME:80c5c986d823,Tug,train,1526,9
NAME:c8566fa48cab,Tug,train,2320,13
NAME:f594d20f8f44,Tug,train,532,3
NAME:fd338e8c446e,Tug,train,1445,6
NAME:2bb710940cf2,Tug,val,239,1
NAME:8b98a80a469f,Tug,val,172,1
NAME:94d44191d9c4,Tug,val,281,2
NAME:b355e2dfcc9a,Tug,val,178,1
NAME:b96db21689b1,Tug,val,514,2
NAME:f44c274a3c68,Tug,val,1318,5
