relative_path,class_name,vessel_key,partitions,selected_segments
Cargo/20171104-1/1.wav,Cargo,NAME:f0ec5fb36652,val,63
Cargo/20171104a-2/2.wav,Cargo,NAME:1533fa5c8ebe,train,60
Cargo/20171105a-3/3.wav,Cargo,NAME:7a966cb92647,test,38
Cargo/20171106-4/4.wav,Cargo,NAME:a24be31ff777,train,40
Cargo/20171107-5/5.wav,Cargo,NAME:d5212f5376c5,train,30
Cargo/20171107b-6/6.wav,Cargo,NAME:3ab5953ca290,train,67
Cargo/20171110-7/7.wav,Cargo,NAME:75855f8e8979,val,74
Cargo/20171111-8/8.wav,Cargo,NAME:3ab5953ca290,train,32
Cargo/20171111e-9/9.wav,Cargo,NAME:4ee15de8a55a,train,38
Cargo/20171111f-10/10.wav,Cargo,NAME:f0ec5fb36652,val,39
Cargo/20171111g-11/11.wav,Cargo,NAME:c110a032c444,train,60
Cargo/20171112-12/12.wav,Cargo,NAME:4c77e6b801e7,test,37
Cargo/20171113-13/13.wav,Cargo,NAME:d84e45f0d825,train,50
Cargo/20171114a-14/14.wav,Cargo,NAME:619b115ec925,train,50
Cargo/20171114b-15/15.wav,Cargo,NAME:38c12430c02b,test,27
Cargo/20171114c-16/16.wav,Cargo,NAME:38c12430c02b,test,40
Cargo/20171114d-17/17.wav,Cargo,NAME:f0ec5fb36652,val,27
Cargo/20171115a-18/18.wav,Cargo,NAME:3ab5953ca290,train,57
Cargo/20171115b-19/19.wav,Cargo,NAME:cb61c07a7a1a,val,44
Cargo/20171115d-20/20.wav,Cargo,NAME:f6b49023d7f3,train,55
Cargo/20171116-22/002044.wav,Cargo,NAME:d5212f5376c5,train,48
Cargo/20171117a-24/045829.wav,Cargo,NAME:a0d706db5033,val,39
Cargo/20171117b-25/055206.wav,Cargo,NAME:b6cdb45129bb,val,50
Cargo/20171117d-26/225044.wav,Cargo,NAME:f0ec5fb36652,val,30
Cargo/20171118-27/27.wav,Cargo,NAME:d5212f5376c5,train,25
Cargo/20171118a-28/074918.wav,Cargo,NAME:3ab5953ca290,train,70
Cargo/20171119b-29/151043.wav,Cargo,NAME:d5212f5376c5,train,46
Cargo/20171120-30/214753.wav,Cargo,NAME:f0ec5fb36652,val,45
Cargo/20171121-31/031902.wav,Cargo,NAME:3ab5953ca290,train,143
Cargo/20171121c-32/111158.wav,Cargo,NAME:d9f26214025f,train,90
Cargo/20171121e-33/202039.wav,Cargo,NAME:59ba6b6f6fa1,val,49
Cargo/20171121f-34/210343.wav,Cargo,NAME:98126d72ec3c,train,58
Cargo/20171122a-35/060651.wav,Cargo,NAME:d5212f5376c5,train,37
Cargo/20171122b-36/075414.wav,Cargo,NAME:3ab5953ca290,train,34
Cargo/20171122c-37/113017.wav,Cargo,NAME:f0ec5fb36652,val,53
Cargo/20171122d-38/38.wav,Cargo,NAME:d84e45f0d825,train,26
Cargo/20171123-39/004508.wav,Cargo,NAME:cad2e05b3af7,train,42
Cargo/20171123c-40/135730.wav,Cargo,NAME:3ab5953ca290,train,70
Cargo/20171124a-41/41.wav,Cargo,NAME:d5212f5376c5,train,27
Cargo/20171124c-42/134001.wav,Cargo,NAME:3ab5953ca290,train,56
Cargo/20171124d-43/161634.wav,Cargo,NAME:eae500282cf9,train,37
Cargo/20171125-44/44.wav,Cargo,NAME:4f98ee78f934,val,23
Cargo/20171125b-45/45.wav,Cargo,NAME:85628b3ed480,val,40
Cargo/20171125c-46/134833.wav,Cargo,NAME:3ab5953ca290,train,78
Cargo/20171125d-47/214505.wav,Cargo,NAME:f0ec5fb36652,val,34
Cargo/20171125e-48/234924.wav,Cargo,NAME:1f603aa156d0,train,66
Cargo/20171126-49/023314.wav,Cargo,NAME:a106214b7e57,test,32
Cargo/20171126a-50/035027.wav,Cargo,NAME:ce2cc8f11dd8,val,32
Cargo/20171126b-51/044753.wav,Cargo,MMSI:218821000,test,54
Cargo/20171126c-52/063408.wav,Cargo,NAME:6963110a094f,train,53
Cargo/20171127-53/231436.wav,Cargo,NAME:1f603aa156d0,train,62
Cargo/20171128a-54/080742.wav,Cargo,NAME:3ab5953ca290,train,52
Cargo/20171129-55/000645.wav,Cargo,NAME:d5212f5376c5,train,43
Cargo/20171129c-56/075459.wav,Cargo,NAME:3ab5953ca290,train,56
Cargo/20171130-57/165031.wav,Cargo,NAME:6f5173da1960,train,46
Cargo/20171130c-58/231720.wav,Cargo,NAME:dc6bbcf79723,train,55
Cargo/20171201-59/080357.wav,Cargo,NAME:3ab5953ca290,train,34
Cargo/20171201a-60/111402.wav,Cargo,NAME:f0ec5fb36652,val,30
Cargo/20171202a-61/054923.wav,Cargo,NAME:d5212f5376c5,train,47
Cargo/20171202b-62/62.wav,Cargo,NAME:25f8571ad937,val,30
Cargo/20171202c-63/123015.wav,Cargo,NAME:58f9969a0115,train,43
Cargo/20171202e-64/141802.wav,Cargo,NAME:3ab5953ca290,train,72
